famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,G1,G2,G3,average,result,Guardian Job,Guardian Education
LE3,T,4,4,other,other,mother,19,18,19,18.66666667,Pass,other,4
GT3,T,1,1,other,other,mother,8,8,10,8.666666667,Fail,other,1
GT3,T,4,2,health,other,other,15,14,15,14.66666667,Pass,unknown,unknown
LE3,T,4,4,teacher,services,mother,8,9,10,9,Fail,teacher,4
GT3,T,3,3,other,other,mother,15,15,15,15,Pass,other,3
GT3,T,3,1,at_home,other,mother,10,10,10,10,Pass,at_home,3
GT3,T,4,4,teacher,teacher,father,15,14,14,14.33333333,Pass,teacher,4
GT3,T,2,1,other,other,mother,7,6,7,6.666666667,Fail,other,2
GT3,T,2,3,other,services,father,11,11,10,10.66666667,Pass,services,3
GT3,T,1,1,other,services,mother,6,5,0,3.666666667,Fail,other,1
GT3,T,4,2,other,other,father,6,5,5,5.333333333,Fail,other,2
GT3,T,2,2,at_home,other,mother,10,9,10,9.666666667,Fail,at_home,2
GT3,T,4,4,teacher,at_home,mother,6,5,6,5.666666667,Fail,teacher,4
GT3,T,2,3,services,other,mother,7,5,0,4,Fail,services,2
LE3,T,3,1,teacher,services,mother,7,9,8,8,Fail,teacher,3
GT3,T,1,1,other,other,mother,6,5,0,3.666666667,Fail,other,1
LE3,A,2,2,services,services,other,9,9,9,9,Fail,unknown,unknown
LE3,T,3,1,services,services,mother,14,16,16,15.33333333,Pass,services,3
GT3,T,1,1,other,other,other,10,8,7,8.333333333,Fail,unknown,unknown
LE3,T,3,2,services,other,mother,11,12,10,11,Pass,services,3
LE3,T,1,1,other,at_home,father,8,9,9,8.666666667,Fail,at_home,1
